,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Nexecs,PopSize,ExecTime,fitness
84,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017923289999997039,663.8854729005915
85,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017195809999996925,397.283023105183
86,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015554509999997634,474.74414053607313
87,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016216129999993,732.8681550911175
88,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016724939999992472,303.5833048794598
89,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015750639999998484,556.1324194533546
90,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018467869999998499,159.13908960642038
91,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017809130000001616,207.40470214398823
92,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015280009999996125,177.91569949213633
93,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015395019999999704,352.29675501197573
94,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015461310000004502,104.0642952312187
95,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001682968000000784,520.2665582216972
96,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00172128799999971,611.9719779445985
97,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001905935999999997,309.74307868955316
98,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016721699999999728,787.6093864668612
99,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015091390000003813,584.3923785609378
100,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015400429999994358,977.9331666205011
101,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00155100000000008,234.47953521743332
102,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016599660000000682,158.4956486147124
103,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015880270000003804,45.79116483336959
104,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018404439999999411,618.8091646262723
105,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017021240000003601,341.10074431640805
106,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016367040000000443,1014.0770804679804
107,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015253569999993388,536.0441699042531
108,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001642206999999729,477.3644710056323
109,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001725551999999908,1112.4971832861959
110,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001588834999999733,264.0160739639049
111,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016810220000005316,1045.2237082201664
112,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017020289999996052,290.389690121955
113,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016264619999999397,1335.66190834456
114,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015201210000004295,551.7915601759825
115,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0014840519999994584,994.2581235397113
116,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016007189999998062,309.5737110182721
117,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015852390000006267,1034.9844946114604
118,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001902210999999987,415.2620527265201
119,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017146869999997705,393.68313292279015
120,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016080889999994241,838.2478498663507
121,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015335660000008744,1716.2637888763015
122,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016272939999995018,204.96661247894937
123,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016342700000002708,162.06613006912215
124,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016398190000002089,653.0338858121177
125,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00207593000000017,349.79631156769227
126,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015415420000000069,684.7783248273684
127,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015764510000000342,171.93155627399622
128,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015381379999999112,840.2953739249433
129,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015195439999997618,436.36539147539224
130,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016660279999998195,1132.26324752184
131,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016792990000000785,118.63059905903532
132,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001854065999999932,186.06244424189515
133,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00158609499999951,510.8796683135023
134,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001541683000000127,524.6047712627932
135,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001708702000000173,79.94515443449725
136,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016157049999998563,869.0236835012192
137,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015459330000000548,350.52740422674003
138,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016196219999997652,119.37395205854605
139,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0019134919999999056,352.7485480186587
140,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015187640000000613,356.0204376326247
141,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015081530000005117,452.70132056942845
142,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015296239999997852,484.6066715403902
143,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016805660000001055,287.678920942196
144,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001530051999999671,835.5339636643641
145,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015950030000002613,285.55151203215263
146,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017213729999996374,1219.846590263889
147,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015340400000001253,237.0039332698764
148,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00148247600000051,53.06275467316358
149,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015067959999992553,503.1315983707984
150,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015222189999999358,286.4837924510576
151,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016232580000004049,753.361407525732
152,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017021549999993724,62.924364445687736
153,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016916469999994632,104.09621902573004
154,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016718299999993746,376.1660893744167
155,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015043439999997688,399.36273431773446
156,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001549733000000053,62.7260172532787
157,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001502718000000236,624.6774844428062
158,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00153303799999982,1106.1217613585159
159,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015680719999995318,80.68841267081243
160,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017089690000000601,553.7203520641149
161,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017221130000004692,67.7143890812609
162,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015592519999998444,420.9078267607633
163,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015017500000000794,405.97318416247833
164,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001570450000000001,477.3138947231352
165,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015892930000003247,793.6453079219638
166,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016229230000002204,721.4257238858544
167,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0019865519999999748,331.36526614465333
168,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015206640000000604,818.3717418435978
169,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015120010000000406,674.5909051713584
170,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015498410000001073,826.0901396296251
171,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015695429999995625,958.3479594395661
172,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001596682999999821,1171.7534793104765
173,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015305429999994402,339.8563770368609
174,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018598110000001,1239.8511376356325
175,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001636618000000034,307.1758506916137
176,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015044819999996406,648.9726779473244
177,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015295050000005972,263.91340641946636
178,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015341380000002403,386.1625091139526
179,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016227810000000176,612.7003024263096
180,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001541404000000135,698.7762386474967
181,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001799187999999674,160.19544870024117
182,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016540499999999625,569.9250909663424
183,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015129859999998274,205.28198074924632
184,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001544850000000153,1122.6142728228797
185,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015093739999993971,933.8693560195384
186,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001554516000000561,864.2133010276607
187,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017142849999993715,349.6185598624082
188,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017610230000002502,287.63968531731484
189,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001525424999999636,1135.539371140323
190,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015055640000003478,379.64996086681253
191,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015354299999996712,845.7086354524482
192,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015677620000005277,597.2253884268831
193,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015852670000002789,276.1179129501165
194,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017285249999998697,385.09050449192523
195,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015641870000004943,278.82287197741016
196,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001610707000000211,1248.274664862113
197,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015162189999999853,792.9903947662649
198,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015106079999993582,932.7902695679325
199,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015080510000000658,618.4277224962186
200,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015838360000000051,144.8893668873986
201,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015303829999995244,537.9254279367567
202,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017267040000001899,344.23507980638567
203,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016695140000004827,1384.652941805263
204,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001520537999999405,647.2415695725423
205,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0014989700000000994,676.6188676616521
206,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0014967730000003954,885.8236230056176
207,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015838129999998785,97.2675989322866
208,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016216650000000499,644.2912378680116
209,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015567220000001214,488.15916459097707
210,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016332379999992597,856.4133256259413
211,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001526273000000522,557.7866714486408
212,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015269890000002562,506.1404161853362
213,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015059100000005543,391.3586573916683
214,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017452059999998326,1497.1391591418774
215,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017265320000001694,1239.888425492848
216,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001651853999999453,84.25108417015979
217,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018254770000005749,448.1591645446041
218,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015641060000000095,533.5247097124518
219,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015492519999993348,949.3418731078212
220,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015412780000003679,758.6631956704481
221,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016503599999992957,708.413823664458
222,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015955050000000526,653.8988852749845
223,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00156034000000016,919.3691397277897
224,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017965969999993447,27.856648481192963
225,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015514860000003239,1381.3462466209824
226,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015148639999997826,154.69085484248671
227,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015236979999997402,405.2076064313895
228,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016349089999998512,806.6977758596498
229,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015259849999997854,379.99626497907
230,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001709281000000118,801.2242513272149
231,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018639499999997255,1272.9846458609143
232,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015162030000004378,527.7734352438798
233,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00152767400000009,807.0599365635271
234,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00167650199999958,590.9147857925495
235,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018208100000007832,1006.8021503562561
236,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017956000000003414,552.0529882561408
237,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018576530000000702,205.79590260520737
238,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016242840000000314,164.22161058120048
239,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016182449999995185,1818.8095516668313
240,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016074729999999704,264.31209984458627
241,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015955039999999698,1020.2145133572235
242,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0019327259999997182,360.51459279024664
243,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0019515449999998324,453.9087502917612
244,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.002406445999999285,356.43296706651495
245,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017249870000002332,502.4922394094008
246,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001917916999999214,493.18420042398844
247,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016079470000001095,145.6828805423561
248,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001786695999999921,704.2924121576319
249,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018311199999994088,1589.4696110971556
250,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0019991690000003004,1635.5953534280038
251,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001520396999999285,11.68924214047706
252,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015289780000005138,154.70156288158893
