pygame 2.3.0 (SDL 2.24.2, Python 3.10.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
Number of generations: 23
Real time spent: 4.15018s
CPU time spent: 4.15012s
Number of fitness evaluations: 2191
Best fitness: 6.532679501993809
         2576315 function calls (2478219 primitive calls) in 8.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    98754    0.119    0.000    0.119    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.119    0.119 _axes.py:46(Axes)
        1    0.000    0.000    0.115    0.115 _fontconfig_pattern.py:1(<module>)
19632/19611    0.069    0.000    0.115    0.000 abstract.py:117(__hash__)
        1    0.000    0.000    0.114    0.114 art3d.py:1(<module>)
    98106    0.114    0.000    0.114    0.000 {method 'lstrip' of 'str' objects}
      382    0.012    0.000    0.110    0.000 _util.py:343(getfullargspec_no_self)
 1804/278    0.038    0.000    0.105    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.102    0.102 _kdtree.py:1(<module>)
16682/16050    0.022    0.000    0.099    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.098    0.098 geo.py:1(<module>)
     6603    0.036    0.000    0.097    0.000 numerictypes.py:356(issubdtype)
       24    0.000    0.000    0.097    0.004 __init__.py:108(import_module)
       24    0.000    0.000    0.097    0.004 <frozen importlib._bootstrap>:1038(_gcd_import)
     8112    0.031    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     6573    0.062    0.000    0.095    0.000 function_base.py:1319(diff)
        2    0.001    0.000    0.095    0.047 builtins.py:1(<module>)
        1    0.000    0.000    0.094    0.094 axis.py:1(<module>)
        1    0.000    0.000    0.094    0.094 _discrete_distns.py:1(<module>)
        9    0.000    0.000    0.092    0.010 typeconv.py:103(safe_unsafe)
     7975    0.042    0.000    0.092    0.000 inspect.py:2637(__init__)
    75128    0.091    0.000    0.091    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.091    0.091 offsetbox.py:1(<module>)
        1    0.000    0.000    0.082    0.082 _distn_infrastructure.py:1(<module>)
     4796    0.024    0.000    0.082    0.000 _methods.py:92(_clip_dep_is_scalar_nan)
      925    0.007    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     1099    0.016    0.000    0.079    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       11    0.000    0.000    0.078    0.007 __init__.py:209(__getattr__)
        2    0.000    0.000    0.078    0.039 core.py:235(read_style_directory)
     2061    0.020    0.000    0.077    0.000 random.py:406(sample)
      125    0.002    0.000    0.077    0.001 _distn_infrastructure.py:704(_construct_argparser)
       19    0.000    0.000    0.075    0.004 _distn_infrastructure.py:3158(__init__)
        1    0.000    0.000    0.074    0.074 polar.py:1(<module>)
       92    0.003    0.000    0.073    0.001 __init__.py:1368(_preprocess_data)
        1    0.000    0.000    0.073    0.073 _laplacian.py:1(<module>)
    10881    0.044    0.000    0.072    0.000 random.py:239(_randbelow_with_getrandbits)
     1850    0.017    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      969    0.004    0.000    0.071    0.000 __init__.py:695(__setitem__)
        1    0.000    0.000    0.070    0.070 colors.py:1(<module>)
      925    0.070    0.000    0.070    0.000 {built-in method marshal.loads}
      337    0.002    0.000    0.068    0.000 vector_operator_functions.py:136(sampleDistribution)
       13    0.001    0.000    0.068    0.005 _axis_nan_policy.py:371(axis_nan_policy_decorator)
        2    0.000    0.000    0.067    0.033 __init__.py:3297(_call_aside)
        1    0.000    0.000    0.067    0.067 __init__.py:3323(_initialize_master_working_set)
      337    0.007    0.000    0.066    0.000 _distn_infrastructure.py:1026(rvs)
        1    0.000    0.000    0.066    0.066 lines.py:1(<module>)
        2    0.000    0.000    0.066    0.033 config.py:1(<module>)
      929    0.003    0.000    0.066    0.000 artist.py:1546(is_alias)
        2    0.000    0.000    0.066    0.033 _parser.py:1(<module>)
        1    0.000    0.000    0.066    0.066 cpu.py:1(<module>)
       14    0.000    0.000    0.065    0.005 decorators.py:189(wrapper)
        9    0.000    0.000    0.065    0.007 typeconv.py:96(promote_unsafe)
       14    0.000    0.000    0.065    0.005 dispatcher.py:807(__init__)
31654/31640    0.050    0.000    0.065    0.000 {method 'join' of 'str' objects}
     13/7    0.000    0.000    0.064    0.009 functools.py:961(__get__)
     2261    0.009    0.000    0.063    0.000 <__array_function__ internals>:177(prod)
    16589    0.040    0.000    0.063    0.000 sre_parse.py:255(get)
    33107    0.043    0.000    0.063    0.000 {method 'get' of 'dict' objects}
     7081    0.028    0.000    0.062    0.000 <__array_function__ internals>:177(concatenate)
      337    0.061    0.000    0.061    0.000 {method 'shuffle' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.061    0.061 image.py:1(<module>)
     1831    0.029    0.000    0.060    0.000 inspect.py:2920(__init__)
     2647    0.013    0.000    0.060    0.000 castgraph.py:39(insert)
       14    0.000    0.000    0.060    0.004 registry.py:38(target_context)
        1    0.000    0.000    0.060    0.060 registry.py:28(_toplevel_target_context)
        1    0.000    0.000    0.060    0.060 cpu.py:39(__init__)
        1    0.000    0.000    0.060    0.060 base.py:228(__init__)
     6603    0.022    0.000    0.060    0.000 {method 'any' of 'numpy.generic' objects}
       13    0.000    0.000    0.059    0.005 _docscrape.py:563(__init__)
    18302    0.059    0.000    0.059    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.058    0.058 requirements.py:1(<module>)
        1    0.000    0.000    0.057    0.057 specifiers.py:1(<module>)
     2191    0.009    0.000    0.057    0.000 <__array_function__ internals>:177(sum)
      429    0.002    0.000    0.056    0.000 artist.py:1540(number_of_parameters)
       16    0.000    0.000    0.056    0.003 __init__.py:657(add_entry)
     4698    0.018    0.000    0.055    0.000 random.py:375(choice)
     2191    0.009    0.000    0.055    0.000 ImageDecoder.py:23(decode)
     8112    0.033    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     6603    0.025    0.000    0.054    0.000 <__array_function__ internals>:177(result_type)
       19    0.000    0.000    0.054    0.003 _distn_infrastructure.py:3223(_construct_docstrings)
  166/162    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.054    0.054 _tokenizer.py:1(<module>)
        1    0.000    0.000    0.053    0.053 callconv.py:1(<module>)
    13206    0.035    0.000    0.053    0.000 numerictypes.py:282(issubclass_)
       76    0.003    0.000    0.053    0.001 __init__.py:2116(find_on_path)
  166/162    0.045    0.000    0.053    0.000 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.052    0.017 base.py:1(<module>)
     1490    0.026    0.000    0.050    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.050    0.050 multiarray.py:1(<module>)
       13    0.000    0.000    0.050    0.004 _docscrape.py:140(__init__)
        1    0.000    0.000    0.050    0.050 axis3d.py:1(<module>)
        1    0.000    0.000    0.049    0.049 entrypoints.py:1(<module>)
    12748    0.032    0.000    0.048    0.000 sre_parse.py:165(__getitem__)
        1    0.000    0.000    0.048    0.048 overrides.py:1(<module>)
    24545    0.041    0.000    0.048    0.000 fromnumeric.py:3121(ndim)
     2015    0.004    0.000    0.047    0.000 <frozen importlib._bootstrap>:391(cached)
       47    0.000    0.000    0.047    0.001 __init__.py:1324(_add_data_doc)
     8596    0.024    0.000    0.047    0.000 enum.py:359(__call__)
     4050    0.020    0.000    0.047    0.000 artist.py:1559(aliased_name)
        3    0.000    0.000    0.046    0.015 typeconv.py:110(unsafe_unsafe)
      100    0.006    0.000    0.046    0.000 artist.py:170(<listcomp>)
     6573    0.029    0.000    0.046    0.000 histograms.py:283(_ravel_and_check_weights)
     2261    0.007    0.000    0.045    0.000 fromnumeric.py:2927(prod)
      2/1    0.000    0.000    0.045    0.045 compiler_lock.py:32(_acquire_compile_lock)
        1    0.000    0.000    0.045    0.045 cpu.py:46(init)
     7911    0.045    0.000    0.045    0.000 {method '__copy__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.045    0.045 quiver.py:1(<module>)
        1    0.000    0.000    0.044    0.044 specifiers.py:107(Specifier)
4369/4349    0.013    0.000    0.043    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.043    0.043 Image.py:1(<module>)
     1090    0.005    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
    13146    0.042    0.000    0.042    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.042    0.004 castgraph.py:128(safe)
    31806    0.040    0.000    0.041    0.000 {built-in method builtins.issubclass}
        9    0.000    0.000    0.041    0.005 typeconv.py:84(unsafe)
        7    0.000    0.000    0.039    0.006 utils.py:1(<module>)
     2191    0.010    0.000    0.039    0.000 fromnumeric.py:2162(sum)
      568    0.015    0.000    0.039    0.000 ffi.py:149(__call__)
     2191    0.008    0.000    0.039    0.000 <__array_function__ internals>:177(reshape)
       13    0.001    0.000    0.039    0.003 _docscrape.py:371(_parse)
        2    0.000    0.000    0.038    0.019 _adapters.py:1(<module>)
       52    0.011    0.000    0.038    0.001 enum.py:180(__new__)
    27815    0.038    0.000    0.038    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.038    0.038 lgmres.py:1(<module>)
     6603    0.017    0.000    0.038    0.000 _methods.py:54(_any)
    32045    0.037    0.000    0.037    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.036    0.018 analysis.py:1(<module>)
        1    0.000    0.000    0.036    0.036 message.py:1(<module>)
        1    0.000    0.000    0.035    0.035 nrt.py:19(initialize)
  372/347    0.001    0.000    0.035    0.000 typing.py:306(inner)
      125    0.001    0.000    0.035    0.000 _distn_infrastructure.py:638(__init__)
        1    0.000    0.000    0.034    0.034 _add_newdocs_scalars.py:1(<module>)
        6    0.000    0.000    0.034    0.006 common.py:1(<module>)
        1    0.000    0.000    0.034    0.034 nrtdynmod.py:205(compile_nrt_functions)
        1    0.000    0.000    0.033    0.033 parfor_lowering.py:1(<module>)
     4834    0.014    0.000    0.033    0.000 {built-in method builtins.max}
       18    0.001    0.000    0.032    0.002 rcsetup.py:721(validate_cycler)
        1    0.000    0.000    0.031    0.031 platform.py:1(<module>)
     1151    0.005    0.000    0.031    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.031    0.031 artist.py:1(<module>)
      314    0.002    0.000    0.031    0.000 overrides.py:170(decorator)
      337    0.001    0.000    0.030    0.000 <string>:5(_parse_args_rvs)
        1    0.000    0.000    0.030    0.030 common.py:8(pyparsing_common)
       32    0.000    0.000    0.030    0.001 doccer.py:225(decorate)
    24545    0.030    0.000    0.030    0.000 fromnumeric.py:3117(_ndim_dispatcher)
     1026    0.008    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.029    0.029 __init__.py:615(_build_master)
        1    0.000    0.000    0.029    0.029 ExifTags.py:1(<module>)
        1    0.000    0.000    0.029    0.029 __init__.py:601(__init__)
      337    0.006    0.000    0.029    0.000 _distn_infrastructure.py:877(_argcheck_rvs)
      100    0.001    0.000    0.029    0.000 deprecation.py:416(make_keyword_only)
      862    0.008    0.000    0.029    0.000 enum.py:89(__setitem__)
     5969    0.011    0.000    0.029    0.000 {method 'add' of 'set' objects}
     2647    0.007    0.000    0.028    0.000 castgraph.py:48(get)
        1    0.000    0.000    0.028    0.028 parfor.py:1(<module>)
        1    0.000    0.000    0.028    0.028 table.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _rotation_groups.py:1(<module>)
        3    0.000    0.000    0.027    0.009 patches.py:2184(__init_subclass__)
        6    0.000    0.000    0.027    0.005 patches.py:2226(pprint_styles)
    23284    0.027    0.000    0.027    0.000 {method 'rstrip' of 'str' objects}
    18302    0.027    0.000    0.027    0.000 fromnumeric.py:70(<dictcomp>)
